id,cluster,usd_billion,source_page
transport,Transport and logistics infrastructure,45.8,92
energy,Energy and extractives,27.5,92
industry,Industry and trade,22.0,92
agriculture,"Agriculture, livestock and fisheries",18.3,92
education,Education and skills development,14.6,92
health,Health and social protection,12.8,92
water,"Water, sanitation and urban development",9.2,92
ict,ICT and digital economy,9.2,92
tourism,Tourism and services,7.3,92
environment,Environment and climate resilience,5.5,92
governance,"Governance, administration, R&D and others",10.0,92
