sector,indicator,from,to,year
agriculture,Share of GDP (%),26.3,25.6,2024
agriculture,Real GDP growth (%),4.1,10,2024
agriculture,Food self-sufficiency ratio,128,130,2024
agriculture,Export value (USD billion),3.54,5,
agriculture,Share of merchandise exports (%),24,30,2023/24
agriculture,Post-harvest losses (%),35,10,
agriculture,Credit (% of total credit),14.9,20,2023
agriculture,Share of employment (%),54.2,50,2024
manufacturing,Industrial share of GDP (%),30.4,36.5,2024
manufacturing,Industrial GDP real growth (%),5.5,8.0,2024
construction,Share of GDP (%),12.8,15.5,2024
construction,Real GDP growth (%),4.1,8.5,2024
construction,Domestic-company market share (%),40,50,2023
construction,Share of employment (%),4,6,2023
mining,Share of GDP (%),10.1,12.5,2024
mining,Real GDP growth (%),8.3,9,2024
mining,Exports (% of total exports),46,55,
mining,Exports (% of merchandise),55,60,
oilgas,Natural gas production (million cubic feet),69538,90000,2024
oilgas,Gas distribution network (km),177.82,267,2024
oilgas,Gas share in electricity mix (%),63,45,2024
tourism,Travel & Tourism Development Index rank,81/119,60/119,2021
tourism,Accommodation share of GDP (%),1.1,1.4,2024
tourism,Accommodation GDP real growth (%),6,8.7,2024
tourism,Export earnings (USD billion),3.7,4.81,2024
tourism,Export earnings (% of total),27,35,
education,Pre-primary gross enrolment (%),89.5,100,2024
education,Pre-primary net enrolment (%),51.2,100,2024
health,Total fertility rate (per woman),4.8,4.11,2022
health,Skilled birth attendance (%),84,89.3,2023/24
health,Life expectancy (years),68.3,70.4,2025
health,Public health spending (% of budget),11.6,14.2,2023/24
water,Improved drinking water (%),69.5,100,2022
water,Rural clean water (%),79.6,87.9,2023/24
water,Urban clean water (%),90,97.2,2023/24
water,Rural piped water (%),78,94.7,2023/24
employment,Labour-force participation (%),73.2,74.6,2024
employment,Employment-to-population (%),68.7,71.3,2024
employment,Unemployment rate (%),6.2,4.4,2024
employment,Youth unemployment (%),8.3,6.0,2024
employment,People with disability employed (%),32.5,40,2024
